TRANS_DATE,TRANS_CODE,TRANS_SHARES
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,400.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,100.0
2008-06-10,S,200.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,200.0
2008-04-08,S,200.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,200.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,200.0
2008-04-08,S,200.0
2008-04-08,S,100.0
2008-04-08,S,200.0
2008-04-08,M,6000.0
2008-04-08,S,6000.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,100.0
2008-04-08,S,200.0
2008-05-06,S,200.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,57.0
2008-05-06,S,100.0
2008-05-06,S,200.0
2008-05-06,S,200.0
2008-05-06,S,200.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,300.0
2008-05-06,S,100.0
2008-05-06,S,200.0
2008-05-06,S,300.0
2008-05-06,S,200.0
2008-05-06,S,200.0
2008-05-06,S,390.0
2008-05-06,S,210.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,200.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,200.0
2008-05-06,S,43.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,S,100.0
2008-05-06,M,1334.0
2008-05-06,S,1167.0
2008-05-06,M,1167.0
2008-05-06,S,1334.0
2008-06-03,M,3250.0
2008-06-03,S,3250.0
2008-06-03,M,833.0
2008-06-03,S,833.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,200.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,9.0
2008-06-03,S,91.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,200.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-03,S,100.0
2008-06-02,S,10000.0
2008-06-02,M,10000.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,200.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,89.0
2008-04-01,S,11.0
2008-04-01,S,200.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,200.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-01,S,200.0
2008-04-01,S,100.0
2008-04-01,S,100.0
2008-04-29,S,200.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,200.0
2008-04-29,S,100.0
2008-04-29,S,200.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,200.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,172.0
2008-04-29,S,228.0
2008-04-29,S,300.0
2008-04-29,S,100.0
2008-04-29,S,200.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,64.0
2008-04-29,S,36.0
2008-04-29,S,100.0
2008-04-29,S,300.0
2008-04-29,S,200.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,100.0
2008-04-29,S,153.0
2008-04-29,S,47.0
2008-04-29,S,100.0
2015-11-27,S,169.0
2015-11-27,S,1000.0
2015-12-28,S,168.0
2015-11-25,M,5000.0
2015-11-25,S,5000.0
2015-11-24,S,102.0
2015-11-24,S,2116.0
2015-11-24,M,20000.0
2015-11-24,S,3647.0
2015-11-24,S,14135.0
2015-12-22,S,3856.0
2015-12-22,S,100.0
2015-12-22,S,12874.0
2015-12-22,S,8170.0
2015-12-22,M,10000.0
2015-12-22,M,15000.0
2015-11-16,M,10000.0
2015-11-16,S,10000.0
2015-12-16,F,1800.0
2015-10-15,S,10000.0
2015-10-15,M,10000.0
2015-11-13,S,730.0
2015-12-14,M,3750.0
2015-12-14,S,3750.0
2015-12-08,A,3164.0
2015-12-11,S,197.0
2015-12-11,S,260.0
2015-11-10,S,200.0
2015-11-10,S,800.0
2015-11-10,M,1700.0
2015-11-10,S,700.0
2015-11-10,M,10000.0
2015-11-10,S,500.0
2015-11-10,S,6949.0
2015-11-10,S,2551.0
2015-11-10,S,1000.0
2015-11-10,S,800.0
2015-11-10,S,200.0
2015-12-10,S,1000.0
2015-12-10,S,100.0
2015-12-10,S,100.0
2015-12-10,M,1700.0
2015-12-10,S,100.0
2015-12-10,S,400.0
2015-12-08,A,3164.0
2015-12-08,A,1376.0
2015-12-08,S,463.0
2015-12-08,S,6200.0
2015-12-08,S,6384.0
