TRANS_DATE,TRANS_CODE,TRANS_SHARES
2016-02-15,M,26.0
2016-02-15,M,361.0
2016-02-15,M,573.0
2016-02-16,S,308.0
2016-02-16,S,200.0
2016-02-16,S,200.0
2016-02-16,S,100.0
2016-02-16,S,500.0
2016-02-16,S,500.0
2016-02-16,S,151.0
2016-02-16,S,100.0
2016-02-15,M,1279.0
2016-02-16,S,801.0
2016-02-16,S,400.0
2016-02-16,S,400.0
2016-02-15,M,5750.0
2016-02-16,G,70.0
2016-02-15,M,162.0
2016-02-15,M,542.0
2016-02-16,S,100.0
2016-02-16,S,300.0
2016-02-16,S,100.0
2016-02-16,S,120.0
2016-02-15,M,16.0
2016-02-16,S,100.0
2016-02-16,S,100.0
2016-02-16,S,192.0
2016-02-15,M,870.0
2016-02-16,S,308.0
2016-02-16,S,400.0
2016-02-16,S,2500.0
2016-02-16,S,200.0
2016-02-16,S,2409.0
2016-02-16,S,1422.0
2016-02-16,S,756.0
2016-02-15,M,5750.0
2016-02-16,S,100.0
2016-02-15,M,1266.0
2016-02-16,S,1600.0
2016-02-16,S,1308.0
2016-02-16,S,1721.0
2016-02-16,S,600.0
2016-02-15,M,246.0
2016-02-15,M,723.0
2016-02-15,M,1129.0
2016-02-16,S,98.0
2016-02-16,S,100.0
2016-02-16,S,100.0
2016-02-16,S,400.0
2016-02-16,S,200.0
2016-02-16,S,600.0
2016-02-15,M,879.0
2016-02-16,S,1100.0
2016-02-16,S,897.0
2016-02-16,S,700.0
2016-02-16,S,800.0
2016-02-15,M,508.0
2016-02-16,S,1043.0
2016-02-16,S,925.0
2016-02-16,S,336.0
2016-02-15,M,5625.0
2016-02-16,S,232.0
2016-02-16,S,100.0
2016-03-03,S,6250.0
2011-09-26,S,4200.0
2011-09-24,M,4200.0
2011-09-18,M,80000.0
2011-09-19,S,1100.0
2011-09-19,S,3700.0
2011-09-19,S,16700.0
2011-09-19,S,5900.0
2011-09-19,S,1600.0
2011-09-19,S,6700.0
2011-09-19,S,6500.0
2011-09-19,S,2800.0
2011-08-18,G,50847.0
2011-09-15,S,3500.0
2011-08-15,S,200.0
2011-08-15,S,600.0
2011-08-15,S,200.0
2011-08-15,M,10000.0
2011-08-15,S,300.0
2011-08-15,S,700.0
2011-08-15,S,2000.0
2011-08-15,S,3100.0
2011-08-15,M,7750.0
2011-08-15,S,3500.0
2011-08-15,M,2000.0
2011-08-15,M,5000.0
2011-08-15,S,136.0
2011-08-15,M,339.0
2011-08-15,M,10000.0
2011-08-15,S,100.0
2011-08-15,S,600.0
2011-08-15,S,1600.0
2011-08-15,S,1300.0
2011-08-15,S,300.0
2011-08-15,S,100.0
